t,echo_plus,echo_minus,echo_thermal
1.193969849246231263e+01,2.995986494654397925e-01,2.995836095886617034e-01,1.914753729731357530e-03
1.203015075376884546e+01,3.367983937979953657e-01,3.367679521670002285e-01,2.165273352239299037e-03
1.212060301507537652e+01,3.750351272844734130e-01,3.749894677325821823e-01,1.894431729020546644e-03
1.221105527638190935e+01,4.140656406382500210e-01,4.140052384309287348e-01,1.252255721281457382e-03
1.230150753768844218e+01,4.536417129586114982e-01,4.535671438871317629e-01,7.860074194046523088e-04
1.239195979899497502e+01,4.935116799266560106e-01,4.934234681346125750e-01,1.004093638945088851e-03
1.248241206030150785e+01,5.334219636475411308e-01,5.333204883800095608e-01,1.822944205924495725e-03
1.257286432160804068e+01,5.731185203017036267e-01,5.730039810667855171e-01,2.588271870211280266e-03
1.266331658291457352e+01,6.123481950345726066e-01,6.122206189226540030e-01,2.749255858779936414e-03
1.275376884422110635e+01,6.508600147978632622e-01,6.507192839139818163e-01,2.361998246823920379e-03
1.284422110552763918e+01,6.884064857184546415e-01,6.882523673427546340e-01,1.828648270302306571e-03
1.293467336683417201e+01,7.247449783100534670e-01,7.245771516507134580e-01,1.361020066572816165e-03
1.302512562814070307e+01,7.596392722952006737e-01,7.594573572244731618e-01,9.261527523826402044e-04
1.311557788944723590e+01,7.928612922563924581e-01,7.926648912746561138e-01,5.519009878872458818e-04
1.320603015075376874e+01,8.241930049836579952e-01,8.239817667989499661e-01,3.559812241788318080e-04
1.329648241206030157e+01,8.534283864743016368e-01,8.532020891339175961e-01,2.952878376236939099e-04
1.338693467336683440e+01,8.803753214037809416e-01,8.801339596226572803e-01,1.921819819267496900e-04
1.347738693467336724e+01,9.048572873027227459e-01,9.046011388621120197e-01,5.639428557943151085e-05
1.356783919597990007e+01,9.267147067154818396e-01,9.264443518368692398e-01,9.838952473338221630e-05
1.365829145728643290e+01,9.458059172323025621e-01,9.455221945944896067e-01,3.437510834446078816e-04
1.374874371859296573e+01,9.620077931290845763e-01,9.617116942872785401e-01,5.301396109860050630e-04
1.383919597989949857e+01,9.752161278914218689e-01,9.749086522456374970e-01,5.242637532400600247e-04
1.392964824120603140e+01,9.853459294387971745e-01,9.850279370920697053e-01,5.390824807520276781e-04
1.402010050251256246e+01,9.923317738065615679e-01,9.920038775354728111e-01,7.193807160262006119e-04
1.411055276381909529e+01,9.961283076487138510e-01,9.957908354988141975e-01,7.950058089718966279e-04
1.420100502512562812e+01,9.967109004134155903e-01,9.963639397854342494e-01,4.839037201370180430e-04
1.429145728643216096e+01,9.940763504624271496e-01,9.937198597984054915e-01,8.267515936803294789e-05
1.438190954773869379e+01,9.882434764043512843e-01,9.878774303027475501e-01,2.556722819664082038e-04
1.447236180904522662e+01,9.792534000023948026e-01,9.788779249451258213e-01,1.172433220726436763e-03
1.456281407035175945e+01,9.671693604711026904e-01,9.667848243363790228e-01,2.139610827326851247e-03
1.465326633165829229e+01,9.520759840756222170e-01,9.516830208923626744e-01,2.290357354915210312e-03
1.474371859296482512e+01,9.340780439498069798e-01,9.336775190665831392e-01,1.544408806151524160e-03
1.483417085427135795e+01,9.132988503833570082e-01,9.128917915679939377e-01,6.755453453144876679e-04
1.492462311557789079e+01,8.898784802616354073e-01,8.894660097644396801e-01,3.927777782982833760e-04
1.501507537688442184e+01,8.639720658512803908e-01,8.635553638641014773e-01,5.754594606129572344e-04
1.510552763819095468e+01,8.357483152160757323e-01,8.353286285425360891e-01,6.101074267961731964e-04
1.519597989949748751e+01,8.053883449354958257e-01,8.049670327384507162e-01,3.040817866863945122e-04
1.528643216080402034e+01,7.730847992168714544e-01,7.726633891547688426e-01,9.560017198937398862e-05
1.537688442211055317e+01,7.390411403938960122e-01,7.386213607443625762e-01,3.572569428771943671e-04
1.546733668341708601e+01,7.034709499929682197e-01,7.030547098301044295e-01,8.823169234781199971e-04
1.555778894472361884e+01,6.665970881979583762e-01,6.661863962864175148e-01,1.221119113851611626e-03
1.564824120603015167e+01,6.286506161149433280e-01,6.282474531967213727e-01,1.231349751013008798e-03
1.573869346733668451e+01,5.898694682358361918e-01,5.894756478908298458e-01,1.088766014981291290e-03
1.582914572864321734e+01,5.504969430021675603e-01,5.501140053675394048e-01,9.590673471334038068e-04
1.591959798994975017e+01,5.107801307469953533e-01,5.104093070784074815e-01,8.718299313490342076e-04
1.601005025125628123e+01,4.709684048340384566e-01,4.706106705404169976e-01,8.176904407336343071e-04
1.610050251256281584e+01,4.313120634412889731e-01,4.309682691400509302e-01,8.092136031947273810e-04
1.619095477386934689e+01,3.920611410538494268e-01,3.917321845464845076e-01,8.497508056375302401e-04
1.628140703517588150e+01,3.534643346097081640e-01,3.531513204206464529e-01,8.837030201275151119e-04
1.637185929648241256e+01,3.157679345480383648e-01,3.154722675417352407e-01,8.002740875262634879e-04
1.646231155778894362e+01,2.792146334433469046e-01,2.789380096293720968e-01,5.536436773916991955e-04
1.655276381909547823e+01,2.440421092921739865e-01,2.437863954538241895e-01,2.707197579007900273e-04
1.664321608040200928e+01,2.104813379880033364e-01,2.102483635466712852e-01,1.158766946830676889e-04
1.673366834170854389e+01,1.787546613170370724e-01,1.785459710475336415e-01,7.696930584221957968e-05
1.682412060301507495e+01,1.490737010657832429e-01,1.488903280528713624e-01,6.335655284669199062e-05
1.691457286432160956e+01,1.216372488479073588e-01,1.214795600528297548e-01,1.318654505551966388e-04
1.700502512562814061e+01,9.662926674371861979e-02,9.649691098727206096e-02,3.465164185013497864e-04
1.709547738693467522e+01,7.421710856381136256e-02,7.410906589827837010e-02,5.563559412632734010e-04
1.718592964824120628e+01,5.455002712281058902e-02,5.446472952376803928e-02,7.047466996038078465e-04
1.727638190954774089e+01,3.775798494625024621e-02,3.769346068403436889e-02,1.155161704233313193e-03
1.736683417085427195e+01,2.395074833537514172e-02,2.390474238160633647e-02,2.111057543510104061e-03
1.745728643216080300e+01,1.321722579389057219e-02,1.318726651134208630e-02,2.887865869327138364e-03
1.754773869346733761e+01,5.625012043882222056e-03,5.608424330647849253e-03,2.609142692853608746e-03
1.763819095477386867e+01,1.220112414965543240e-03,1.214008927426435923e-03,1.662214278187896946e-03
1.772864321608040328e+01,2.684024622023933388e-05,2.814337656929800292e-05,1.496440058315288719e-03
1.781909547738693433e+01,2.047893521748039587e-03,2.053442023699140681e-03,2.642111633276425162e-03
1.790954773869346894e+01,7.264620980622458514e-03,7.271393079378035522e-03,3.816190032476191128e-03
1.800000000000000000e+01,1.563748152841788752e-02,1.564292544147844952e-02,3.557324161825122909e-03
